instruction_name,register0_changed,register1_changed,register2_changed,register3_changed
add,true,false,false,
sub,true,false,false,
sll,true,false,false,
slt,true,false,false,
sltu,true,false,false,
xor,true,false,false,
srl,true,false,false,
sra,true,false,false,
or,true,false,false,
and,true,false,false,
addi,true,false,false,
slti,true,false,false,
sltiu,true,false,false,
xori,true,false,false,
ori,true,false,false,
andi,true,false,false,
slli,true,false,false,
srli,true,false,false,
srai,true,false,false,
lb,true,false,false,
lh,true,false,false,
lw,true,false,false,
lbu,true,false,false,
lhu,true,false,false,
sb,false,false,false,
sh,false,false,false,
sw,false,false,false,
jal,true,false,false,
jalr,true,false,false,
beq,false,false,false,
bne,false,false,false,
blt,false,false,false,
bge,false,false,false,
bltu,false,false,false,
bgeu,false,false,false,
lui,true,false,false,
auipc,true,false,false,
fence,false,false,false,
fencei,false,false,false,
ecall,false,false,false,
ebreak,false,false,false,
csrrw,true,false,false,
csrrs,true,false,false,
csrrc,true,false,false,
csrrwi,true,false,false,
csrrsi,true,false,false,
csrrci,true,false,false,
uret,false,false,false,
sret,false,false,false,
mret,false,false,false,
wfi,false,false,false,
sfencevma,false,false,false,
addiw,true,false,false,
slliw,true,false,false,
srliw,true,false,false,
sraiw,true,false,false,
addw,true,false,false,
subw,true,false,false,
sllw,true,false,false,
srlw,true,false,false,
sraw,true,false,false,
lwu,true,false,false,
ld,true,false,false,
sd,false,false,false,
mul,true,false,false,
mulh,true,false,false,
mulhsu,true,false,false,
mulhu,true,false,false,
div,true,false,false,
divu,true,false,false,
rem,true,false,false,
remu,true,false,false,
mulw,true,false,false,
divw,true,false,false,
divuw,true,false,false,
remw,true,false,false,
remuw,true,false,false,
add.uw,true,false,false,
sh1add,true,false,false,
sh2add,true,false,false,
sh3add,true,false,false,
slli.uw,true,false,false,
sh1add.uw,true,false,false,
sh2add.uw,true,false,false,
sh3add.uw,true,false,false,
clmul,true,false,false,
clmulr,true,false,false,
clmulh,true,false,false,
czero.eqz,true,false,false,
czero.nez,true,false,false,
pack,true,false,false,
packh,true,false,false,
packw,true,false,false,
xperm4,true,false,false,
xperm8,true,false,false,
brev8,true,false,false,
zip,true,false,false,
unzip,true,false,false,
aes64ds,true,false,false,
aes64dsm,true,false,false,
aes64es,true,false,false,
aes64esm,true,false,false,
aes64im,true,false,false,
aes64ks1i,true,false,false,
aes64ks2,true,false,false,
sha256sig0,true,false,false,
sha256sig1,true,false,false,
sha256sum0,true,false,false,
sha256sum1,true,false,false,
sha512sig0,true,false,false,
sha512sig1,true,false,false,
sha512sum0,true,false,false,
sha512sum1,true,false,false,
sm3p0,true,false,false,
sm3p1,true,false,false,
bclr,true,false,false,
bclri,true,false,false,
bext,true,false,false,
bexti,true,false,false,
binv,true,false,false,
binvi,true,false,false,
bset,true,false,false,
bseti,true,false,false,
andn,true,false,false,
orn,true,false,false,
xnor,true,false,false,
rol,true,false,false,
ror,true,false,false,
rori,true,false,false,
clz,true,false,false,
ctz,true,false,false,
cpop,true,false,false,
sext.b,true,false,false,
sext.h,true,false,false,
orc.b,true,false,false,
rev8,true,false,false,
zext.h,true,false,false,
clzw,true,false,false,
ctzw,true,false,false,
cpopw,true,false,false,
rolw,true,false,false,
rorw,true,false,false,
roriw,true,false,false,
min,true,false,false,
minu,true,false,false,
max,true,false,false,
maxu,true,false,false,
fmadd.s,true,false,false,false
fmsub.s,true,false,false,false
fnmsub.s,true,false,false,false
fnmadd.s,true,false,false,false
fmadd.d,true,false,false,false
fmsub.d,true,false,false,false
fnmsub.d,true,false,false,false
fnmadd.d,true,false,false,false
flw,true,false,false,
fld,true,false,false,
fsw,false,false,false,
fsd,false,false,false,
fadd.s,true,false,false,
fsub.s,true,false,false,
fmul.s,true,false,false,
fdiv.s,true,false,false,
fsqrt.s,true,false,false,
fsgnj.s,true,false,false,
fsgnjn.s,true,false,false,
fsgnjx.s,true,false,false,
fmin.s,true,false,false,
fmax.s,true,false,false,
fcvt.w.s,true,false,false,
fcvt.wu.s,true,false,false,
fmv.x.w,true,false,false,
fmv.x.s,true,false,false,
feq.s,true,false,false,
flt.s,true,false,false,
fle.s,true,false,false,
fclass.s,true,false,false,
fcvt.s.w,true,false,false,
fcvt.s.wu,true,false,false,
fmv.w.x,true,false,false,
fmv.s.x,true,false,false,
fadd.d,true,false,false,
fsub.d,true,false,false,
fmul.d,true,false,false,
fdiv.d,true,false,false,
fsqrt.d,true,false,false,
fsgnj.d,true,false,false,
fsgnjn.d,true,false,false,
fsgnjx.d,true,false,false,
fmin.d,true,false,false,
fmax.d,true,false,false,
fcvt.s.d,true,false,false,
fcvt.d.s,true,false,false,
feq.d,true,false,false,
flt.d,true,false,false,
fle.d,true,false,false,
fclass.d,true,false,false,
fcvt.w.d,true,false,false,
fcvt.wu.d,true,false,false,
fcvt.d.w,true,false,false,
fcvt.d.wu,true,false,false,
fcvt.l.s,true,false,false,
fcvt.lu.s,true,false,false,
fcvt.s.l,true,false,false,
fcvt.s.lu,true,false,false,
fcvt.l.d,true,false,false,
fcvt.lu.d,true,false,false,
fmv.x.d,true,false,false,
fmv.d.x,true,false,false,
fcvt.d.l,true,false,false,
fcvt.d.lu,true,false,false,
lr.w,true,false,false,
sc.w,true,false,false,
amoswap.w,true,false,false,
amoadd.w,true,false,false,
amoxor.w,true,false,false,
amoand.w,true,false,false,
amoor.w,true,false,false,
amomin.w,true,false,false,
amomax.w,true,false,false,
amominu.w,true,false,false,
amomaxu.w,true,false,false,
lr.d,true,false,false,
sc.d,true,false,false,
amoswap.d,true,false,false,
amoadd.d,true,false,false,
amoxor.d,true,false,false,
amoand.d,true,false,false,
amoor.d,true,false,false,
amomin.d,true,false,false,
amomax.d,true,false,false,
amominu.d,true,false,false,
amomaxu.d,true,false,false,
c.addi4spn,true,false,false,
c.lw,true,false,false,
c.ld,true,false,false,
c.flw,true,false,false,
c.fld,true,false,false,
c.sw,false,false,false,
c.sd,false,false,false,
c.fsw,false,false,false,
c.fsd,false,false,false,
c.nop,false,false,false,
c.addi,true,false,false,
c.jal,true,false,false,
c.addiw,true,false,false,
c.li,true,false,false,
c.addi16sp,true,false,false,
c.lui,true,false,false,
c.srli,true,false,false,
c.srai,true,false,false,
c.andi,true,false,false,
c.sub,true,false,false,
c.xor,true,false,false,
c.or,true,false,false,
c.and,true,false,false,
c.subw,true,false,false,
c.addw,true,false,false,
c.j,false,false,false,
c.beqz,false,false,false,
c.bnez,false,false,false,
c.slli,true,false,false,
c.lwsp,true,false,false,
c.ldsp,true,false,false,
c.flwsp,true,false,false,
c.fldsp,true,false,false,
c.jr,false,false,false,
c.mv,true,false,false,
c.ebreak,false,false,false,
c.jalr,true,false,false,
c.add,true,false,false,
c.swsp,false,false,false,
c.sdsp,false,false,false,
c.fswsp,false,false,false,
c.fsdsp,false,false,false,
