mnemonic,abstract_op,form
vadd,Add,VV
vadd,Add,VX
vadd,Add,VI
vsub,Sub,VV
vsub,Sub,VX
vmul,Mul,VV
vmul,Mul,VX
vdiv,Div,VV
vdiv,Div,VX
vdivu,Divu,VV
vdivu,Divu,VX
vrem,Rem,VV
vrem,Rem,VX
vremu,Remu,VV
vremu,Remu,VX
vmin,Min,VV
vmin,Min,VX
vminu,Minu,VV
vminu,Minu,VX
vmax,Max,VV
vmax,Max,VX
vmaxu,Maxu,VV
vmaxu,Maxu,VX
vand,And,VV
vand,And,VX
vor,Or,VV
vor,Or,VX
vxor,Xor,VV
vxor,Xor,VX
vsll,Sll,VV
vsll,Sll,VX
vsrl,Srl,VV
vsrl,Srl,VX
vsra,Sra,VV
vsra,Sra,VX
vmseq,Seq,VV
vmseq,Seq,VX
vmseq,Seq,VI
vmslt,Slt,VV
vmslt,Slt,VX
vmslt,Slt,VI
vmsle,Sle,VV
vmsle,Sle,VX
vmsle,Sle,VI
vmsltu,Sltu,VV
vmsltu,Sltu,VX
vmsltu,Sltu,VI
vmadd,Madd,VV
vnmsub,Nmsub,VV
vmacc,Macc,VV
vnmsac,Nmacc,VV
vmerge,Merge,VV
vmv,Move,VV
